start|end|text
8.66|18.13|... I'm going to write you a letter and put it in with these tapes.
18.25|24.75|And then I thought, well, I might as well talk to you for a while on this other tape instead of writing a letter.
27.32|33.45|This is November the 28th, Thursday, November the 28th.
34.77|42.78|And the Phyllis has the parcels ready to ship -- Christmas parcels ready to ship to Toronto, 
45.88|49.94|and Janey, and Calgary, I presume.
50.06|52.1|No, Calgary, they'll be down here.
52.2|53.2|They'll pick theirs up here.
55.16|57.16|Anyway, everything's going fine here.
57.46|59.62|We've got nice weather now the last three, four days.
63.18|67.28|I've been doing some work on my water softener.
67.32|70.98|The valve -- shut off valve on the water line.
71.1|72.48|It wouldn't shut off anymore.
72.86|74.2|It was all corroded.
75.7|82.84|And the one going into the pan on the humidifier has been leaking.
82.88|84.7|And I couldn't get it adjusted.
84.92|89.32|So I'm putting in a new valve, a new float valve.
90.36|94.74|Believe it or not, the little plastic thing, $12.75.
97.0|100.18|And I don't know how long it'll last.
100.24|103.0|The other one lasts about five, six years.
103.1|104.9|And then the orifice goes on them.
105.7|110.26|And you could put a new rubber gasket in, but it won't shut the water off.
111.84|114.86|And I had to run around and pick up the parts.
115.18|117.66|You've got to go here and you've got to go there.
117.76|120.66|One guy has one thing and the next guy has the other thing.
120.8|126.3|And between the two shopping malls here, I've been able to gather up the stuff I need.
126.68|129.58|And what else am I doing?
129.62|136.76|Yeah, I'm going to put a plastic, a stiff plastic cover in front of the
137.5|137.9|fireplace.
137.98|139.38|I've done some testing.
139.5|143.3|I put cardboard in there back when it was so cold.
143.38|145.08|What a difference it made in this familyroom.
145.8|149.42|You can't imagine the cold air that came out through that fireplace.
150.6|151.66|It's not a draft.
151.82|153.86|It's just a continuous cold coming in.
154.66|157.22|I put a cardboard in there and shut it all off tight
157.34|161.94|and you could sit in here and it was, 10, 15 below zero.
162.66|164.62|And your feet were nice and warm.
164.7|167.48|Where before that, just sit in here and your feet were always cold.
169.18|171.04|I talked to George the other day.
173.88|181.98|He phoned me, oh ya to tell me that he had been to the annual meeting of the Elks
181.98|185.5|where they give out their pins for the years.
185.58|190.6|Next year, I'm up for my 45th year as an Elk.
191.74|198.08|George is coming into his 50th in a year or so.
200.68|201.84|He's keeping fine.
202.48|203.36|Sounded good.
205.04|206.8|Said he had been talking to you guys.
210.12|212.7|I better check on this; see if it's taping properly.
213.62|215.04|Yeah, it seemed to be taping,
215.06|218.9|so all I have to do is lay back in the lazy boy here and talk.
221.54|224.58|If I can think of what to say, it's, you know,
224.64|227.72|unless you have some special topic to talk on,
227.78|230.64|it's pretty hard to keep on a continuous conversation.
233.74|236.2|I'm getting quite a kick out of all
236.2|238.34|the "bad news".
239.48|241.6|You never hear anything good on TV,
241.88|242.78|it's always bad.
243.82|246.36|Poor Reagan, he's into it up to his knees.
248.18|252.14|And I don't think our boys in Ottawa are much better.
252.26|256.52|They're trying to patch up here and patch up there
256.52|258.98|to make it look good but oh boy.
260.66|264.1|The old dept keeps on piling up, piling up.
265.04|267.76|Sinclair Stevens is having a hell of a time.
268.14|272.14|I laugh at when they're at the coffee roll.
272.26|274.32|I say, they shouldn't be so hard on that guy,
274.52|276.84|you know, I shook hands with him about 20 years ago
276.84|278.58|and he's a pretty nice fella.
280.36|282.08|You probably don't know that.
282.16|286.66|It was at the time that I was a signer for the Western Bank of Canada
286.66|291.42|that Stevens and Klein were going to start up.
291.88|294.52|And they were down here and had a meeting
295.84|300.52|in the Saskatchewan Hotel.
301.46|306.3|And all of us that were signers for were invited there.
307.0|308.88|You know, just to hear them talk.
309.1|312.02|But it's in the end, they never start the bank.
312.14|314.08|They got squabbling amongst themselves
314.08|316.34|who is going to control it.
316.44|317.54|And that's where it stopped.
318.22|321.42|But right now, it seems that Stevens has got himself
321.42|324.42|into plenty of a mess.
325.84|331.6|If what you can go by what you see here on TV.
331.8|335.3|It looks pretty rotten.
340.14|343.04|And that both him and his wife are just sitting there
343.04|344.88|telling one bit after the other.
346.08|347.3|Deny, deny, deny.
348.56|354.68|The fella that loaned her, what, 2.6 million
354.68|356.64|without knowing who she was.
356.7|357.26|Yeah.
358.08|361.6|I think he was lying a little bit, too.
362.9|364.92|However, that's all past -- let'er go.
366.06|368.6|Right today on the news, it came over -
369.08|370.7|you talk about bad news -
371.84|375.4|and the news for this morning, I heard that there was
375.4|380.08|a policeman in Calgary that had robbed 20,
380.26|383.14|had staged 20 bank holdups in Calgary
383.14|384.4|in the last couple of years.
385.34|386.44|He's a policeman.
386.86|388.06|33 years ago.
388.08|393.32|Father of a family of seven, and a very unassuming guy.
393.58|397.8|And I don't know how they got suspicious, but they,
398.42|401.82|I guess they followed him after hours or something
401.82|407.14|and caught him in the act and tagged 20 robberies
407.14|407.64|off to him.
409.12|412.72|Whether he was responsible for all of them, I don't know.
414.22|415.62|That's some more bad news.
418.06|420.28|The first minister's meeting in Vancouver,
422.82|424.3|I listened to it for nine hours, one day
424.42|428.6|and everyone they all did a magnificent job of presenting their case.
429.84|432.94|But each one ended up the next day,
433.0|435.12|then holding his hand out, give us some money,
435.18|438.18|give us some money, we need this, we need money to do that.
438.84|441.38|Well, Rudy said, God, fellas, I'm trying to hold
441.54|445.18|the line, he said, "There's got to be and end to handouts."
447.28|448.9|However, in some ways, somehow,
449.34|451.54|they're all keeping it going, keep on rolling.
456.54|464.77|Then, oh, yeah, I was talking to Hugo the other day,
464.83|467.77|stopped in there for coffee in the morning
